Date,Open,High,Low,Close,Volume,AdjClose
12/26/2011,57702,57856,57669,57669,0,57669
12/19/2011,56100,57792,55298,57701,2477400,57701
12/12/2011,58235,58235,56087,56097,2917900,56097
12/5/2011,57894,59576,57260,58236,2310400,58236
11/28/2011,54899,58980,54899,57886,3253700,57886
11/21/2011,56722,56722,54537,54894,2246200,54894
11/14/2011,58539,58877,56418,56731,2461600,56731
11/7/2011,58670,59616,57201,58547,2104300,58547
10/31/2011,59513,59513,56099,58670,2369500,58670
10/24/2011,55259,59901,55259,59513,2629000,59513
10/17/2011,55021,55504,53188,55255,2354200,55255
10/10/2011,51244,55179,51244,55030,2730800,55030
10/3/2011,52319,52891,49433,51244,3150800,51244
9/26/2011,53243,54992,51897,52324,2463100,52324
9/19/2011,57208,57620,52706,53230,2815000,53230
9/12/2011,55773,57210,54310,57210,2283700,57210
9/5/2011,56521,58242,54121,55778,2423600,55778
8/29/2011,53356,58589,53356,56532,2947600,56532
8/22/2011,52472,54279,51853,53351,2383200,53351
8/15/2011,53478,55073,52246,52448,2772600,52448
8/8/2011,52938,53724,47793,53473,4371400,53473
8/1/2011,58823,59542,51153,52949,3414600,52949
7/25/2011,60264,60285,58009,58823,2233300,58823
7/18/2011,59479,60696,58631,60270,1951900,60270
7/11/2011,61502,61502,59180,59478,2065400,59478
7/4/2011,63397,63891,61366,61513,1617200,61513
6/27/2011,61017,63455,60772,63394,1898800,63394
6/20/2011,61059,61859,60784,61017,1757200,61017
6/13/2011,62701,62968,60489,61060,1958600,61060
6/6/2011,64341,64512,62495,62697,1870500,62697
5/30/2011,64295,64979,63277,64341,1901400,64341
5/23/2011,62597,64548,61659,64295,1952300,64295
5/16/2011,63233,64015,62086,62597,2307300,62597
5/9/2011,64416,65143,63063,63235,2295200,63235
5/2/2011,66119,66500,62973,64417,2505600,64417
4/25/2011,67058,67413,65105,66133,2199700,66133
4/18/2011,66689,67077,65158,67058,2557400,67058
4/11/2011,68719,69177,65832,66684,2323900,66684
4/4/2011,69270,70108,68472,68718,422500,68718
3/28/2011,67767,69387,67046,69268,1918800,69268
3/21/2011,66887,68256,66531,67766,2220800,67766
3/14/2011,66684,67502,65463,66880,2522200,66880
3/9/2011,68010,68057,65559,66685,2091200,66685
2/28/2011,66909,68220,66101,68012,2284000,68012
2/21/2011,68067,68067,66049,66903,2585400,66903
2/14/2011,65751,68226,65462,68067,2212900,68067
2/7/2011,65272,66238,64016,65756,2461700,65756
1/31/2011,66697,68012,65160,65269,2395300,65269
1/24/2011,69134,69556,65898,66698,2216300,66698
1/17/2011,70940,71190,69095,69133,1908400,69133
1/10/2011,70056,71924,69666,70940,2061800,70940
1/3/2011,69310,71173,69305,70057,2181100,70057
12/27/2010,68476,69527,67803,69305,1111300,69305
12/20/2010,67979,68562,67261,68486,1784100,68486
12/13/2010,68342,69221,66948,67981,1072700,67981
12/6/2010,69759,70589,67563,68342,1023700,68342
11/29/2010,68218,69963,67103,69766,1775300,69766
11/22/2010,70898,70898,67728,68226,1671300,68226
11/16/2010,70364,70904,68662,70898,1407200,70898
11/8/2010,72607,73045,70004,70367,1024800,70367
11/1/2010,70686,73103,70673,72607,1902100,72607
10/25/2010,69536,71263,69055,70673,2610800,70673
10/18/2010,71830,71884,68847,69530,2404600,69530
10/11/2010,70810,72140,70810,71830,2200500,71830
10/4/2010,70230,71290,69314,70809,2418700,70809
9/27/2010,68197,70243,68011,70229,2395200,70229
9/20/2010,67087,69601,67009,68196,2550100,68196
9/13/2010,66807,68142,66807,67089,2013200,67089
9/6/2010,66679,66949,66101,66807,1341800,66807
8/30/2010,65585,67673,64202,66679,2140100,66679
8/23/2010,66678,67175,63804,65585,1654800,65585
8/16/2010,66260,67745,66187,66677,1768600,66677
8/9/2010,68096,68513,65257,66264,1600100,66264
8/2/2010,67524,68754,67524,68095,1733300,68095
7/26/2010,66322,67608,66151,67515,1804800,67515
7/19/2010,62351,66323,62351,66323,1877600,66323
7/12/2010,63477,63972,62298,62339,1430800,62339
7/5/2010,61436,63596,60796,63476,1484200,63476
6/28/2010,64825,65105,60056,61430,1674200,61430
6/21/2010,64442,65831,63736,64824,1672100,64824
6/14/2010,63613,65182,63529,64438,1852400,64438
6/7/2010,61675,63766,61099,63605,1606200,63605
5/31/2010,61950,63198,61422,61676,1755200,61676
5/24/2010,60255,62262,57876,61947,2475700,61947
5/17/2010,63406,63593,57634,60259,2932600,60259
5/10/2010,62872,66083,62872,63412,2155800,63412
5/3/2010,67534,67969,60774,62871,2677600,62871
4/26/2010,69509,69810,65914,67530,1765300,67530
4/19/2010,69418,69709,68081,69509,1656500,69509
4/12/2010,71414,71607,69013,69421,1834600,69421
4/5/2010,71148,71989,70462,71417,1623000,71417
3/29/2010,68681,71401,68681,71136,1561900,71136
3/22/2010,68814,69677,67899,68683,1569800,68683
3/15/2010,69340,70424,68623,68829,1548200,68829
3/8/2010,68851,70486,68255,69341,1799500,69341
3/1/2010,66511,68930,66511,68847,1706900,68847
2/22/2010,67598,68120,64429,66503,1628600,66503
2/17/2010,65863,67935,65863,67597,844800,67597
2/8/2010,62760,66145,62728,65855,1251200,65855
2/1/2010,65402,67347,61341,62763,2032500,62763
1/26/2010,66213,66576,64541,65402,1819100,65402
1/18/2010,68983,70036,65445,66220,1604300,66220
1/11/2010,70267,71068,68695,68978,1699000,68978
1/4/2010,68587,70937,68587,70263,1814500,70263
12/28/2009,67591,68588,67591,68588,802600,68588
12/21/2009,66806,67810,65925,67589,1194300,67589
12/14/2009,69273,69785,66322,66794,1340500,66794
12/7/2009,67611,69502,67470,69267,1368000,69267
11/30/2009,67082,69361,66876,67604,1709400,67604
11/23/2009,66335,67997,65737,67082,1262700,67082
11/16/2009,65326,68060,65326,66327,1637600,66327
11/9/2009,64475,67170,64229,65326,1766600,65326
11/3/2009,61539,65094,60724,64466,1757100,64466
10/26/2009,65056,65901,60146,61546,1772400,61546
10/19/2009,66200,67530,64076,65059,1702200,65059
10/13/2009,64075,66703,63967,66200,1525000,66200
10/5/2009,61178,64177,61178,64071,1466700,64071
9/28/2009,60357,61926,59678,61172,1362600,61172
9/21/2009,60703,62017,59600,60356,1353700,60356
9/14/2009,58363,61027,57753,60703,1362900,60703
9/7/2009,55707,58834,55656,58366,1050800,58366
8/31/2009,57698,57698,55339,56652,1412400,56652
8/24/2009,57731,58634,56845,57701,1287600,57701
8/17/2009,56636,57782,54881,57729,1224200,57729
8/10/2009,56329,57367,55568,56638,1453100,56638
8/3/2009,54766,56780,54766,56330,1320500,56330
7/27/2009,54458,55083,53256,54766,1223600,54766
7/20/2009,52073,54629,52073,54457,1489400,54457
7/13/2009,49221,52352,48262,52072,1485400,52072
7/6/2009,50932,50932,48456,49221,1399900,49221
6/29/2009,51488,52435,50608,50935,1047800,50935
6/22/2009,51367,51935,49130,51486,1435800,51486
6/15/2009,53558,53558,50265,51374,1403800,51374
6/8/2009,53340,54102,52483,53558,1318200,53558
6/1/2009,53202,54955,51643,53341,1720000,53341
5/25/2009,50558,53806,50074,53198,1607800,53198
5/18/2009,49012,52640,49012,50568,1757300,50568
5/11/2009,51389,51565,48284,49007,1554900,49007
5/4/2009,47290,52096,47290,51396,2127800,51396
4/27/2009,46772,48126,44966,47290,1917300,47290
4/20/2009,45778,46946,44275,46772,1352300,46772
4/13/2009,45536,46591,44811,45778,1734900,45778
4/6/2009,44385,45702,43429,45539,1720000,45539
3/30/2009,41909,44610,40256,44391,1803500,44391
3/23/2009,40077,42680,40077,41907,1729600,41907
3/16/2009,39018,41137,38080,40076,1602400,40076
3/9/2009,37103,39707,36392,39015,1496700,39015
3/2/2009,38180,38554,35722,37105,1618200,37105
2/25/2009,38712,39219,37324,38183,1463700,38183
2/16/2009,41672,41841,38103,38715,1469400,38715
2/9/2009,42755,43441,39992,41674,1786000,41674
2/2/2009,39296,42873,38453,42756,1880200,42756
1/26/2009,38130,40438,37831,39301,1571600,39301
1/19/2009,39351,39570,36744,38132,1411600,38132
1/12/2009,41585,41585,36806,39342,1863000,39342
1/5/2009,40243,42525,39526,41583,1642600,41583
12/29/2008,36864,40265,36638,40244,1203200,40244
12/22/2008,39140,39452,36334,36864,881400,36864
12/15/2008,39368,40498,38320,39131,1689100,39131
12/8/2008,35347,39880,35347,39374,2062400,39374
12/1/2008,36596,36596,33798,35347,1697500,35347
11/24/2008,31255,37217,31255,36596,1641800,36596
11/17/2008,35777,36373,31081,31251,1651600,31251
11/10/2008,36672,38725,33645,35789,1787000,35789
11/3/2008,37261,41003,35387,36665,1940400,36665
10/27/2008,31480,37945,29435,37257,2142100,37257
10/20/2008,36401,39980,30788,31482,1789100,31482
10/13/2008,35609,43753,33752,36399,2103700,36399
10/6/2008,44502,44502,33238,35610,2300600,35610
9/29/2008,50743,50743,43766,44517,1639600,44517
9/22/2008,53055,53455,49289,50783,1538500,50783
9/15/2008,52386,53168,45295,53055,2078900,53055
9/8/2008,51940,53706,47606,52393,1560300,52393
9/1/2008,55665,55665,50092,51940,1221300,51940
8/25/2008,55854,56856,54153,55680,907200,55680
8/18/2008,54252,56430,52345,55850,987900,55850
8/11/2008,56590,56974,53831,54244,1273800,54244
8/4/2008,57619,57942,55367,56584,1197500,56584
7/28/2008,57207,60023,56839,57630,1162000,57630
7/21/2008,60002,61275,56418,57199,1363300,57199
7/14/2008,60156,62606,58790,59988,1428600,59988
7/7/2008,59372,61053,57945,60148,1213000,60148
6/30/2008,64326,65353,58786,59365,1078100,59365
6/23/2008,64622,66308,63689,64321,1140700,64321
6/16/2008,67206,69029,64602,64614,1183600,64614
6/9/2008,69786,69990,66715,67204,1121000,67204
6/2/2008,72593,72593,68465,69786,1265900,69786
5/26/2008,71452,73920,70335,72593,1336100,72593
5/19/2008,72767,73794,70774,71452,1327400,71452
5/12/2008,69646,72767,69068,72767,1173400,72767
5/5/2008,69366,70545,68599,69646,1204800,69646
