Date,Open,High,Low,Close,Volume,AdjClose
12/19/2011,5651.74,5965.35,5637.53,5878.93,22268300,5878.93
12/12/2011,5945.19,5952.55,5675.14,5701.78,38916200,5701.78
12/5/2011,6137.87,6170.04,5802.36,5986.71,34567400,5986.71
11/28/2011,5577.19,6169.64,5573,6080.68,37344700,6080.68
11/21/2011,5767.09,5771.7,5366.5,5492.87,23504000,5492.87
11/14/2011,6097.27,6116.07,5769.69,5800.24,29383100,5800.24
11/7/2011,5905.93,6087.06,5721.97,6057.03,33897900,6057.03
10/31/2011,6283.19,6304.84,5762.26,5966.16,41130900,5966.16
10/24/2011,6014.36,6430.6,5937.58,6346.19,39127400,6346.19
10/17/2011,6021.29,6081.41,5747.65,5970.96,32209900,5970.96
10/10/2011,5705.4,6037.29,5652.99,5967.2,33719100,5967.2
10/3/2011,5311.93,5749.13,5125.44,5675.7,35764300,5675.7
9/26/2011,5128.56,5704.41,5118.19,5502.02,38304800,5502.02
9/19/2011,5447.32,5577.6,4973.92,5196.56,34965200,5196.56
9/12/2011,5063.59,5655.95,4965.8,5573.51,51761000,5573.51
9/5/2011,5409.9,5473.68,5150.05,5189.93,30337700,5189.93
8/29/2011,5634.06,5869.65,5493.31,5538.33,33901400,5538.33
8/22/2011,5412.75,5777.04,5403.58,5537.48,37742800,5537.48
8/15/2011,6075.59,6106.11,5345.36,5480,42723900,5480
8/8/2011,6170.69,6272.94,5487.82,5997.74,75783900,5997.74
8/1/2011,7254.5,7282.01,6152.62,6236.16,59065200,6236.16
7/25/2011,7273.6,7382.8,7063.82,7158.77,34893100,7158.77
7/18/2011,7162.82,7357.25,7089.09,7326.39,20057900,7326.39
7/11/2011,7352.73,7358.5,6996.26,7220.12,34775900,7220.12
7/4/2011,7427.14,7523.53,7389.8,7402.73,29482300,7402.73
6/27/2011,7101.15,7443.2,7075.19,7419.44,33984400,7419.44
6/20/2011,7078.59,7310.1,7063.86,7121.38,33502600,7121.38
6/13/2011,7075.91,7231.49,7017.98,7164.05,40007100,7164.05
6/6/2011,7095.4,7183.78,6991.62,7069.9,30561100,7069.9
5/30/2011,7165,7319.69,7021.36,7109.03,26838800,7109.03
5/23/2011,7158.08,7217.24,7071.42,7163.47,39113300,7163.47
5/16/2011,7348.12,7415.65,7228.13,7266.82,42572800,7266.82
5/9/2011,7461.35,7566.41,7356.76,7403.31,40329600,7403.31
5/2/2011,7570.86,7600.41,7291.39,7492.25,55379800,7492.25
4/25/2011,7295.49,7514.69,7278.52,7514.46,29169700,7514.46
4/18/2011,7165.99,7316.53,6994.56,7295.49,39840500,7295.49
4/11/2011,7215.34,7224.74,7089.17,7178.29,42656800,7178.29
4/4/2011,7178.59,7242.69,7129.41,7217.02,31875900,7217.02
3/28/2011,6931.86,7192.38,6867.42,7179.81,30138100,7179.81
3/21/2011,6782.3,6985.25,6720.02,6946.36,34770100,6946.36
3/14/2011,6896.31,6946.44,6483.39,6664.4,71174700,6664.4
3/7/2011,7137.81,7270.81,6963.31,6981.49,37283100,6981.49
2/28/2011,7173.59,7356.33,7122.69,7178.9,34943000,7178.9
2/21/2011,7412.06,7441.82,7093.91,7185.17,37952300,7185.17
2/14/2011,7403.83,7438.42,7364.04,7426.81,39083500,7426.81
2/7/2011,7222.05,7390.48,7214.05,7371.2,33371100,7371.2
1/31/2011,7094.56,7226.64,7033.09,7216.21,35505900,7216.21
1/24/2011,7080.78,7180.15,7000.41,7102.8,42329600,7102.8
1/17/2011,7072.75,7165,7008.62,7062.42,42343500,7062.42
1/10/2011,6920.36,7084.07,6835.74,7075.7,38008300,7075.7
1/3/2011,6973.39,7047.59,6842.9,6947.84,30379200,6947.84
12/27/2010,7055.32,7056.34,6897.22,6914.19,10776900,6914.19
12/20/2010,7000.38,7087.84,6992.67,7057.69,20128900,7057.69
12/13/2010,7027.58,7044.87,6964.13,6982.45,35923300,6982.45
12/6/2010,6970.24,7042.67,6926.57,7006.17,33048500,7006.17
11/29/2010,6867.77,6977.91,6655.94,6947.72,38992500,6947.72
11/22/2010,6892.02,6901.93,6701.98,6848.98,31876600,6848.98
11/15/2010,6705.13,6854.09,6653.57,6843.55,32949300,6843.55
11/8/2010,6746.44,6810.86,6617.97,6734.61,34133400,6734.61
11/1/2010,6637.09,6775.17,6586.01,6754.2,30461200,6754.2
10/25/2010,6645.45,6668.54,6553.25,6601.37,31885700,6601.37
10/18/2010,6465.83,6623.94,6461.48,6605.84,27354700,6605.84
10/11/2010,6308.43,6512.78,6228.39,6492.3,33834200,6492.3
10/4/2010,6205,6321.79,6115.87,6291.67,31817300,6291.67
9/27/2010,6307.87,6339.36,6187.22,6211.34,35303000,6211.34
9/20/2010,6231.28,6339.97,6129.44,6298.3,34559000,6298.3
9/13/2010,6258.51,6321.2,6185.74,6209.76,40363100,6209.76
9/6/2010,6156.29,6233.07,6062.65,6214.77,24854300,6214.77
8/30/2010,5973.48,6178.01,5833.51,6134.62,26367900,6134.62
8/23/2010,6017.19,6055.23,5837.9,5951.17,24951100,5951.17
8/16/2010,6132.78,6229.46,5999.63,6005.16,26888600,6005.16
8/9/2010,6326.62,6356.41,6068.82,6110.41,26741600,6110.41
8/2/2010,6187.64,6386.97,6182.68,6259.63,31654500,6259.63
7/26/2010,6201.02,6253.64,6059.19,6147.97,30329800,6147.97
7/19/2010,6034.87,6190.24,5906.04,6166.34,25267500,6166.34
7/12/2010,6079.95,6248.07,6018.64,6040.27,30212400,6040.27
7/5/2010,5853.75,6078.56,5809.37,6065.24,25522500,6065.24
6/28/2010,6097.37,6168.99,5827.25,5834.15,30229500,5834.15
6/21/2010,6320.41,6330.81,6039.56,6070.6,27535500,6070.6
6/14/2010,6113.46,6256.55,6089.32,6216.98,45635900,6216.98
6/7/2010,5876.48,6089.43,5798.76,6047.83,37243900,6047.83
5/31/2010,5933.58,6114.58,5833.61,5938.88,27502700,5938.88
5/24/2010,5858.45,5980.78,5607.68,5946.18,41141400,5946.18
5/17/2010,6029.91,6181.26,5689.18,5829.25,61252500,5829.25
5/10/2010,5814.41,6276.8,5805.98,6056.71,53260900,6056.71
5/3/2010,6122.76,6197,5655.18,5715.09,67078200,5715.09
4/26/2010,6317.13,6341.52,6024.01,6135.7,60575600,6135.7
4/19/2010,6158.6,6287.54,6140.38,6259.53,46206500,6259.53
4/12/2010,6283.81,6310.76,6162.84,6180.9,39803200,6180.9
4/5/2010,6235.56,6265.32,6138.02,6249.7,23872600,6249.7
3/29/2010,6150.17,6238.57,6108.23,6235.56,30230900,6235.56
3/22/2010,5960.85,6139.5,5910.85,6120.05,32388700,6120.05
3/15/2010,5933.63,6041.95,5898.22,5982.43,40631300,5982.43
3/8/2010,5891.74,5989.88,5838.17,5945.11,27098300,5945.11
3/1/2010,5652.85,5880.25,5641.18,5877.36,29233700,5877.36
2/22/2010,5741,5743.89,5518.27,5598.46,31738700,5598.46
2/15/2010,5525.74,5729.58,5498.07,5722.05,29430900,5722.05
2/8/2010,5476.47,5592.27,5434.4,5500.39,33089100,5500.39
2/1/2010,5587.5,5733.71,5433.02,5434.34,39479600,5434.34
1/25/2010,5662.85,5718.81,5540.33,5608.79,40086600,5608.79
1/18/2010,5897.63,5988.8,5639.49,5695.32,33912900,5695.32
1/11/2010,6057.93,6094.26,5866.84,5875.97,34586400,5875.97
1/4/2010,5975.52,6058.02,5961.25,6037.61,27598100,6037.61
12/28/2009,5977.99,6026.69,5949.45,5957.43,11188800,5957.43
12/21/2009,5841.81,5988.28,5841.69,5957.44,20381100,5957.44
12/14/2009,5803.2,5903.43,5752.21,5831.21,37299900,5831.21
12/7/2009,5812.11,5812.69,5605.43,5756.29,25949600,5756.29
11/30/2009,5691.84,5859.34,5607.82,5817.65,31781700,5817.65
11/23/2009,5689.38,5825.69,5519.48,5685.61,28050700,5685.61
11/16/2009,5717.46,5843.27,5638.33,5663.15,29347600,5663.15
11/9/2009,5514.34,5726.38,5514.34,5686.83,25614100,5686.83
11/2/2009,5410.61,5526.86,5312.64,5488.25,32038900,5488.25
10/26/2009,5764.03,5799.42,5394.8,5414.96,39086900,5414.96
10/19/2009,5761.3,5888.21,5712.82,5740.25,31111800,5740.25
10/12/2009,5727.31,5885.78,5695.16,5743.39,35986900,5743.39
10/5/2009,5477.81,5748.33,5440.23,5711.88,28699100,5711.88
9/28/2009,5595.36,5756.26,5442.32,5467.9,34455800,5467.9
9/21/2009,5698.53,5754.04,5559.47,5581.41,27410400,5581.41
9/14/2009,5599.58,5760.83,5532.3,5703.83,41063000,5703.83
9/7/2009,5400.76,5653.15,5400.76,5624.02,24213000,5624.02
8/31/2009,5474.62,5507.48,5263.11,5384.43,25318600,5384.43
8/24/2009,5482.6,5575.53,5432.06,5517.35,24820900,5517.35
8/17/2009,5296.33,5478.18,5158.6,5462.74,26731800,5462.74
8/10/2009,5451.79,5455.27,5252.15,5309.11,25610500,5309.11
8/3/2009,5330.87,5480.93,5309.35,5458.96,29191400,5458.96
7/27/2009,5269.15,5396.95,5159.25,5332.14,31214200,5332.14
7/20/2009,5014.5,5301.91,5007.95,5229.36,26070900,5229.36
7/13/2009,4564.94,5017.6,4524.01,4978.4,26785800,4978.4
7/6/2009,4669.66,4703.3,4558,4576.31,20635300,4576.31
6/29/2009,4768.11,4930.35,4685.27,4708.21,21836100,4708.21
6/22/2009,4837.28,4866.8,4669.8,4776.47,25498000,4776.47
6/15/2009,5051.35,5051.35,4761.2,4839.46,38379800,4839.46
6/8/2009,5060.72,5133.4,4969.96,5069.24,22310800,5069.24
6/1/2009,4992.1,5177.59,4991.21,5077.03,26526400,5077.03
5/25/2009,4936.04,5035.51,4802.8,4940.82,25112500,4940.82
5/18/2009,4702.81,5060.76,4655.53,4918.75,31134200,4918.75
5/11/2009,4907.29,4926.69,4653.25,4737.5,36476300,4737.5
5/4/2009,4790.03,4980.3,4781.97,4913.9,37918000,4913.9
