Date,Open,High,Low,Close,Volume,AdjClose
12/26/2011,8504.46,8516.53,8477.37,8479.34,61400,8479.34
12/19/2011,8363.39,8471.11,8272.26,8395.16,87400,8395.16
12/12/2011,8652.98,8682.47,8374.25,8401.72,104100,8401.72
12/5/2011,8697.78,8729.81,8503.03,8536.46,131800,8536.46
11/28/2011,8269.91,8653.88,8259.71,8643.75,118700,8643.75
11/21/2011,8349.05,8375.6,8135.79,8160.01,105800,8160.01
11/14/2011,8631.28,8655.31,8359.6,8374.91,100300,8374.91
11/7/2011,8771.82,8779.55,8485.77,8514.47,129700,8514.47
10/31/2011,9011.18,9152.39,8640.42,8801.4,122900,8801.4
10/24/2011,8764.92,9086.43,8642.56,9050.47,123500,9050.47
10/17/2011,8881.44,8911.7,8652.26,8678.89,95000,8678.89
10/11/2011,8733.54,8854.16,8689.38,8747.96,109700,8747.96
10/3/2011,8567.98,8663.57,8343.01,8605.62,141200,8605.62
9/26/2011,8547.62,8756,8359.7,8700.29,150800,8700.29
9/20/2011,8763.61,8771.72,8545.46,8560.26,111800,8560.26
9/12/2011,8578.71,8864.16,8499.34,8864.16,130400,8864.16
9/5/2011,8828.46,8876.49,8588.34,8737.66,133800,8737.66
8/29/2011,8802.25,9098.15,8751.29,8950.74,133700,8950.74
8/22/2011,8686.91,8849.94,8619.21,8797.78,154700,8797.78
8/15/2011,9082.53,9150.31,8707.47,8719.24,122400,8719.24
8/8/2011,9169.67,9215.09,8656.79,8963.72,177200,8963.72
8/1/2011,9907.04,10040.13,9264.09,9299.88,148100,9299.88
7/25/2011,10080.82,10130.25,9824.34,9833.03,123400,9833.03
7/19/2011,9921.5,10149.18,9889.72,10132.11,118200,10132.11
7/11/2011,10069.01,10109.3,9884,9974.47,117400,9974.47
7/4/2011,9980.16,10207.91,9940.47,10137.73,132400,10137.73
6/27/2011,9633.92,9900.57,9570.58,9868.07,121600,9868.07
6/20/2011,9383.24,9695.09,9346.76,9678.71,126800,9678.71
6/13/2011,9405.16,9599.9,9318.62,9351.4,129100,9351.4
6/6/2011,9467.37,9613.75,9358.31,9514.44,143500,9514.44
5/30/2011,9489.78,9720.73,9448,9492.21,129100,9492.21
5/23/2011,9547.86,9588.7,9406.04,9521.94,118000,9521.94
5/16/2011,9571.13,9731.12,9502.39,9607.08,126600,9607.08
5/9/2011,9881.67,9929.04,9552.93,9648.77,148400,9648.77
5/2/2011,9964.39,10017.47,9782.66,9859.2,130100,9859.2
4/25/2011,9705.9,9849.74,9536.51,9849.74,118600,9849.74
4/18/2011,9593.41,9732.63,9405.19,9682.21,122300,9682.21
4/11/2011,9731.32,9775.6,9513.27,9591.52,154900,9591.52
4/4/2011,9773.91,9808.6,9536.68,9768.08,187600,9768.08
3/28/2011,9541.76,9822.06,9317.38,9708.39,197800,9708.39
3/22/2011,9403.05,9625.03,9387.95,9536.13,230400,9536.13
3/14/2011,10044.17,10049.92,8227.63,9206.75,339000,9206.75
3/7/2011,10626.97,10662.07,10254.43,10254.43,159500,10254.43
2/28/2011,10504.54,10768.43,10448.83,10693.66,153400,10693.66
2/21/2011,10820.78,10859.39,10428.38,10526.76,167400,10526.76
2/14/2011,10689.65,10891.6,10674.44,10842.8,131000,10842.8
2/7/2011,10641.3,10701.92,10570.62,10605.65,155800,10605.65
1/31/2011,10219.98,10580.36,10182.57,10543.52,165300,10543.52
1/24/2011,10318.6,10496.4,10278.81,10360.34,136700,10360.34
1/17/2011,10562.09,10580.68,10257.99,10274.52,141700,10274.52
1/11/2011,10484.62,10620.57,10476.29,10499.04,160200,10499.04
1/4/2011,10352.19,10550.71,10321.28,10541.04,139100,10541.04
12/27/2010,10292.84,10376.91,10209.93,10228.92,89100,10228.92
12/20/2010,10296.55,10394.22,10182.74,10279.19,113800,10279.19
12/13/2010,10212.52,10347.39,10199.73,10303.83,146800,10303.83
12/6/2010,10175.23,10373.7,10094.41,10211.95,146100,10211.95
11/29/2010,10075.66,10254,9918.55,10178.32,128000,10178.32
11/22/2010,10133.48,10157.97,9904.92,10039.56,130400,10039.56
11/15/2010,9782.11,10130.23,9693.21,10022.39,144800,10022.39
11/8/2010,9699.79,9885.37,9659.86,9724.81,135600,9724.81
11/1/2010,9166.85,9680.68,9123.62,9625.99,133600,9625.99
10/25/2010,9424.44,9460.7,9179.15,9202.45,129800,9202.45
10/18/2010,9517.68,9575.14,9316.97,9426.71,120200,9426.71
10/12/2010,9648.59,9650.2,9387.73,9500.25,149900,9500.25
10/4/2010,9410.92,9716.92,9332.19,9588.88,181600,9588.88
9/27/2010,9557.37,9613.47,9358.62,9404.23,132700,9404.23
9/21/2010,9700.88,9704.25,9415.96,9471.67,121600,9471.67
9/13/2010,9325.64,9643.28,9199.08,9626.09,135700,9626.09
9/6/2010,9199.99,9311.02,8997.63,9239.17,118800,9239.17
8/30/2010,9141.45,9280.7,8796.45,9114.13,115400,9114.13
8/23/2010,9147.24,9171.42,8807.41,8991.06,114200,8991.06
8/16/2010,9145.22,9362.68,9084.24,9179.38,107800,9179.38
8/9/2010,9535.51,9667.04,9065.94,9253.46,114100,9253.46
8/2/2010,9574.64,9750.88,9474.67,9642.12,126800,9642.12
7/26/2010,9520.73,9760.31,9487.65,9537.3,136700,9537.3
7/20/2010,9267.24,9474.11,9176.12,9430.96,173700,9430.96
7/12/2010,9540.47,9807.36,9392.21,9408.36,143200,9408.36
7/5/2010,9230,9610.59,9091.7,9585.32,120400,9585.32
6/28/2010,9758.91,9762.23,9147.68,9203.71,114000,9203.71
6/21/2010,10109.27,10251.9,9697.87,9737.48,112900,9737.48
6/14/2010,9824.93,10109.86,9819.95,9995.02,103000,9995.02
6/7/2010,9705.36,9764.73,9378.23,9705.25,123400,9705.25
5/31/2010,9735.47,9962.42,9560.16,9901.19,130600,9901.19
5/24/2010,9754.99,9824.85,9395.29,9762.98,171400,9762.98
5/17/2010,10329.37,10336.53,9696.63,9784.54,172500,9784.54
5/10/2010,10399.05,10643.28,10345.19,10462.51,183100,10462.51
5/6/2010,10847.9,10847.9,10257.32,10364.59,205700,10364.59
4/26/2010,11039.59,11213.45,10882.4,11057.4,153500,11057.4
4/19/2010,10929.64,11093.3,10865.92,10914.46,139300,10914.46
4/12/2010,11300.79,11351.55,11084.72,11102.18,142000,11102.18
