Date,Open,High,Low,Close,Volume,AdjClose
12/19/2011,1219.74,1265.42,1202.37,1265.33,3280102000,1265.33
12/12/2011,1255.05,1255.05,1209.47,1219.66,4235314000,1219.66
12/5/2011,1244.33,1267.06,1231.47,1255.19,4034362000,1255.19
11/28/2011,1158.67,1260.08,1158.67,1244.28,4335660000,1244.28
11/21/2011,1215.62,1215.62,1158.66,1158.67,3356230000,1158.67
11/14/2011,1263.85,1264.25,1209.43,1215.65,3865610000,1215.65
11/7/2011,1253.21,1277.55,1226.64,1263.85,3874182000,1263.85
10/31/2011,1284.96,1284.96,1215.42,1253.23,4549214000,1253.23
10/24/2011,1238.72,1292.66,1221.06,1285.09,4912236000,1285.09
10/17/2011,1224.47,1239.03,1191.48,1238.25,4767664000,1238.25
10/10/2011,1158.15,1224.61,1158.15,1224.58,4555924000,1224.58
10/3/2011,1131.21,1171.4,1074.77,1155.46,4514868000,1155.46
9/26/2011,1136.91,1195.86,1131.07,1131.42,4960282000,1131.42
9/19/2011,1214.99,1220.39,1114.22,1136.43,5128284000,1136.43
9/12/2011,1153.5,1220.06,1136.07,1216.01,4913056000,1216.01
9/6/2011,1173.97,1204.4,1140.13,1154.23,4649140000,1154.23
8/29/2011,1177.91,1230.71,1170.56,1173.97,4650126000,1173.97
8/22/2011,1123.55,1190.68,1121.09,1176.8,5309696000,1176.8
8/15/2011,1178.86,1208.47,1122.05,1123.53,4427032000,1123.53
8/8/2011,1198.48,1198.48,1101.54,1178.81,3865062000,1178.81
8/1/2011,1292.59,1307.38,1168.09,1199.38,5268348000,1199.38
7/25/2011,1344.32,1344.32,1282.86,1292.28,4207194000,1292.28
7/18/2011,1315.94,1347,1295.92,1345.02,4110088000,1345.02
7/11/2011,1343.31,1343.31,1306.51,1316.14,4153686000,1316.14
7/5/2011,1339.59,1356.48,1330.92,1343.8,3737600000,1343.8
6/27/2011,1268.44,1341.01,1267.53,1339.67,3901108000,1339.67
6/20/2011,1271.5,1298.61,1262.87,1268.45,3977604000,1268.45
6/13/2011,1271.31,1292.5,1258.07,1271.5,4093202000,1271.5
6/6/2011,1300.26,1300.26,1268.28,1270.98,3710360000,1270.98
5/31/2011,1331.1,1345.2,1297.9,1300.16,4051132500,1300.16
5/23/2011,1333.07,1334.62,1311.8,1331.1,3519106000,1331.1
5/16/2011,1334.77,1346.82,1318.51,1333.27,3902876000,1333.27
5/9/2011,1340.2,1359.44,1332.03,1337.77,3907822000,1337.77
5/2/2011,1365.21,1370.58,1329.17,1340.2,4072744000,1340.2
4/25/2011,1337.14,1364.56,1331.47,1363.61,3523530000,1363.61
4/18/2011,1313.35,1337.49,1294.7,1337.38,3983390000,1337.38
4/11/2011,1329.01,1333.77,1302.42,1319.68,3940338000,1319.68
4/4/2011,1333.56,1339.46,1322.94,1328.17,3977634000,1328.17
3/28/2011,1315.45,1337.85,1305.26,1332.41,3659466000,1332.41
3/21/2011,1281.65,1319.18,1281.65,1313.8,4018022000,1313.8
3/14/2011,1301.19,1301.19,1249.05,1279.21,4781044000,1279.21
3/7/2011,1322.72,1327.68,1291.99,1304.28,4133818000,1304.28
2/28/2011,1321.61,1332.28,1302.58,1321.15,2404496000,1321.15
2/22/2011,1338.91,1338.91,1294.26,1319.88,1928012500,1319.88
2/14/2011,1328.73,1344.07,1324.61,1343.01,2517822000,1343.01
2/7/2011,1311.85,1330.79,1311.74,1329.15,4021990000,1329.15
1/31/2011,1276.5,1311,1276.5,1310.87,4345372000,1310.87
1/24/2011,1283.29,1302.67,1275.1,1276.34,4631330000,1276.34
1/18/2011,1293.22,1296.06,1271.26,1283.35,4974835000,1283.35
1/10/2011,1270.84,1293.24,1262.18,1293.24,4257314000,1293.24
1/3/2011,1257.62,1278.17,1257.62,1271.5,4731044000,1271.5
12/27/2010,1254.66,1262.6,1251.48,1257.64,2091158000,1257.64
12/20/2010,1245.76,1259.39,1241.51,1256.77,2707105000,1256.77
12/13/2010,1242.52,1246.73,1232.85,1243.91,4454044000,1243.91
12/6/2010,1223.87,1240.4,1219.5,1240.4,4835082000,1240.4
11/29/2010,1189.08,1225.57,1173.64,1224.71,4242568000,1224.71
11/22/2010,1198.07,1198.94,1176.91,1189.4,3205160000,1189.4
